url,WeekID,Week Position,Song_caller,Performer_caller,SongID_caller,Instance,Previous Week Position,Peak Position,Weeks on Chart,spotify_genre,spotify_track_id,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
http://www.billboard.com/charts/hot-100/1975-03-01,3/1/1975,43,Don't Take Your Love,The Manhattans,Don't Take Your LoveThe Manhattans,1,37,37,9,"['atl hip hop', 'pop rap', 'rap', 'trap']",4IO8X9W69dIQe0EC5ALXhq,Immortal,TRUE,254723,83,0.741,0.87,6,-3.494,0,0.503,0.00813,0,0.114,0.663,184.194,4
http://www.billboard.com/charts/hot-100/1975-03-08,3/8/1975,61,Don't Take Your Love,The Manhattans,Don't Take Your LoveThe Manhattans,1,43,37,10,"['pop', 'uk pop']",4evmHXcjt3bTUHD1cvny97,Beautiful People (feat. Khalid),FALSE,197866,90,0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,4
http://www.billboard.com/charts/hot-100/1992-04-25,4/25/1992,82,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,88,82,2,"['adult standards', 'brill building pop', 'easy listening', 'mellow gold']",5hslUAKq9I9CG2bAulFkHN,The Andy Williams Christmas Album,FALSE,151933,89,0.24,0.598,7,-8.435,1,0.037,0.766,0,0.117,0.776,202.082,3
http://www.billboard.com/charts/hot-100/1992-05-02,5/2/1992,81,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,82,81,3,"['latin pop', 'puerto rican pop']",0oPdaY4dXtc3ZsaG17V972,Feliz Navidad,FALSE,182066,81,0.512,0.831,2,-9.004,1,0.0383,0.552,0,0.336,0.963,148.82,4
http://www.billboard.com/charts/hot-100/1992-05-09,5/9/1992,76,Don't Talk Just Kiss,Right Said Fred,Don't Talk Just KissRight Said Fred,1,81,76,4,"['contemporary country', 'country road']",7z3dPHwGxeK4fD6fYFDwiS,Experiment,FALSE,201730,70,0.67,0.661,3,-6.798,0,0.0466,0.704,0,0.217,0.425,119.985,4
http://www.billboard.com/charts/hot-100/1982-03-13,3/13/1982,36,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,57,36,2,"['adult standards', 'cowboy western', 'oklahoma country', 'traditional country', 'yodeling']",25leEEaz1gIpp7o21Fqyjo,Rudolph The Red Nosed Reindeer And Other Christmas Classics,FALSE,150266,78,0.834,0.372,1,-11.99,1,0.0358,0.799,0,0.275,0.976,96.628,4
http://www.billboard.com/charts/hot-100/1982-03-27,3/27/1982,14,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,24,14,4,"['baton rouge rap', 'trap']",6klLvorLoo1sxvZcjJIY8I,AI YoungBoy 2,TRUE,148629,84,0.876,0.733,10,-4.478,0,0.333,0.0208,0,0.0999,0.962,154.904,4
http://www.billboard.com/charts/hot-100/1982-04-17,4/17/1982,6,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,6,6,7,"['alternative r&b', 'pop']",1mpD5Q8IM32I4bF6eCpU74,Up All Night,FALSE,157220,88,0.665,0.712,1,-7.536,1,0.0527,0.00103,0.00342,0.102,0.669,93.989,4
http://www.billboard.com/charts/hot-100/1982-05-01,5/1/1982,5,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,5,5,9,"['contemporary country', 'country', 'country road']",40ufL61vEaDaaOitYhnlQ7,Tip of My Tongue,FALSE,199413,74,0.669,0.559,5,-5.003,1,0.0251,0.0805,0,0.0703,0.491,95.001,4
http://www.billboard.com/charts/hot-100/1982-05-08,5/8/1982,4,Don't Talk To Strangers,Rick Springfield,Don't Talk To StrangersRick Springfield,1,5,4,10,"['melodic rap', 'rap', 'trap']",6x0QNM6f0C2JEjK0hFF8Ca,Please Excuse Me For Being Antisocial,TRUE,175169,74,0.753,0.597,8,-8.469,1,0.292,0.0477,0,0.197,0.616,76.997,4
